"Grading","Country","Area","Town","Postcode","Name"
"3-star","England","Worcestershire","Defford","WR8 9BW","Monkey House"
"3-star","England","Worcestershire","Hanley Castle","WR8 0BL","Three Kings"
"3-star","England","Worcestershire","Worcester","WR5 1PE","Punch Bowl"
"3-star","England","Worcestershire","Worcester","WR1 2NA","Cardinal's Hat"
"3-star","England","Worcestershire","Worcester","WR1 3PA","Paul Pry"
"3-star","Northern Ireland","Northern Ireland","Ballycastle","BT54 6AS","House of McDonnell"
"3-star","Northern Ireland","Northern Ireland","Ballycastle","BT54 6AW","Boyd Arms"
"3-star","Northern Ireland","Northern Ireland","Ballyeaston","BT39 9SH","Carmichael's"
"3-star","Northern Ireland","Northern Ireland","Belfast","BT12 7AB","Fort Bar"
"3-star","Northern Ireland","Northern Ireland","Belfast","BT2 7BA","Crown"
"3-star","Northern Ireland","Northern Ireland","Bushmills","BT57 8QD","Bush House"
"3-star","Northern Ireland","Northern Ireland","Camlough","BT35 7JG","Carraghers Bar"
"3-star","Northern Ireland","Northern Ireland","Enniskillen","BT74 7EJ","Blakes of the Hollow"
"3-star","Northern Ireland","Northern Ireland","Irvinestown","BT94 1GJ","Central Bar"
"3-star","Northern Ireland","Northern Ireland","Killyleagh","BT30 9QF","Dufferin Arms"
"3-star","Northern Ireland","Northern Ireland","Limavady","BT49 0EU","Owens Bar"
"3-star","Northern Ireland","Northern Ireland","Portadown","BT62 3PB","McConville's"
"3-star","Scotland","Aberdeen & Grampian","Aberdeen","AB25 1BU","Blue Lamp"
"3-star","Scotland","Aberdeen & Grampian","Aberdeen","AB11 6BA","Grill"
"3-star","Scotland","Aberdeen & Grampian","Craigellachie","AB38 9RR","Fiddichside Inn"
"3-star","Scotland","Argyll & The Isles","Kilmelford","PA34 4XA","Cuilfail"
"3-star","Scotland","Argyll & The Isles","Lochgilphead","PA31 8JL","Commercial"
"3-star","Scotland","Ayrshire & Arran","Dalry","KA24 5DH","Volunteer Arms"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH1 3RJ","Barony Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH12 5NG","Roseburn Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH6 8LN","Central Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 3JD","Kenilworth"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 2AA","Cafe Royal"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH9 1SU","John Leslie [Leslie's Bar]"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 4JB","Oxford Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 4PA","H. P. Mather [Mathers West End]"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH3 9LG","Bennets Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 2PR","Abbotsford Bar & Restaurant"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 2AA","Voodoo Rooms"
"3-star","Scotland","Edinburgh & The Lothians","Prestonpans","EH32 9BE","Bombay Bar & Grill"
"3-star","Scotland","Edinburgh & The Lothians","West Calder","EH55 8DL","Railway Inn"
"3-star","Scotland","Fife","Kincardine","FK10 4LX","Railway Tavern"
"3-star","Scotland","Fife","Kirkcaldy","KY1 2PH","Feuars Arms"
"3-star","Scotland","Fife","Leslie","KY6 3AZ","Auld Hoose"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G5 9HU","Laurieston Bar"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G32 9AL","Railway Tavern"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G2 8BG","Sloans"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G32 7NB","Portland Arms"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G1 1UP","Steps Bar"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G51 1LF","Old Toll Bar"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G2 5AE","Horse Shoe"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G51 3DJ","Brechin's"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Paisley","PA1 1XU","Bull Inn"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Renton","G82 4NL","Central Bar"
"3-star","Scotland","Tayside","Dundee","DD3 7SD","Frews Bar"
"3-star","Scotland","Tayside","Dundee","DD2 1AS","Speedwell Bar"
"3-star","Scotland","Tayside","Dundee","DD3 7SW","Clep Bar"
