name,country,county,lat,lng,total_routes,rocktype,already_on_map,url
Swirl Crags,England,Cumbria,54.5372,-3.0481,33,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/swirl_crags-444
"Tarn Beck, Duddon Valley.",England,Cumbria,54.37639,-3.17139,1,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/tarn_beck_duddon_valley-4041
Tarn Crag,England,Cumbria,54.46323,-2.7908,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/tarn_crag-16203
Tarn Crag (Langdale),England,Cumbria,54.4571,-3.0964,20,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/tarn_crag_langdale-1613
The Bell,England,Cumbria,54.36997,-3.09698,1,Rhyolite,,https://www.ukclimbing.com/logbook/crags/the_bell-27889
The Napes,England,Cumbria,54.48,-3.2194,104,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/the_napes-662
The Old Man of Coniston,England,Cumbria,54.37058,-3.12169,4,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/the_old_man_of_coniston-13918
The White Lady,England,Cumbria,54.38266,-3.07102,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/the_white_lady-1839
Thorn Crag (Langdale),England,Cumbria,54.4541,-3.11256,2,Rhyolite,,https://www.ukclimbing.com/logbook/crags/thorn_crag_langdale-16709
Throng Close,England,Cumbria,54.37345,-3.17057,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/throng_close-3146
Tilberthwaite Gill,England,Cumbria,54.39611,-3.075,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/tilberthwaite_gill-1840
Walla Crag,England,Cumbria,54.5816,-3.1208,36,Rhyolite,,https://www.ukclimbing.com/logbook/crags/walla_crag-740
Wetherlam,England,Cumbria,54.40036,-3.09825,5,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/wetherlam-14997
White Ghyll,England,Cumbria,54.4552,-3.0851,63,Rhyolite,,https://www.ukclimbing.com/logbook/crags/white_ghyll-341
White crag,England,Cumbria,54.4477,-3.1114,32,Rhyolite,,https://www.ukclimbing.com/logbook/crags/white_crag_cumbria-19085
Wistow Crags,England,Cumbria,54.49268,-3.27599,2,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/wistow_crags-12120
Yewbarrow,England,Cumbria,54.46487,-3.27678,2,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/yewbarrow-15657
Yoadcastle,England,Cumbria,54.34535,-3.29831,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/yoadcastle-26824
Alport Castles,England,Derbyshire,53.4206,-1.7886,17,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/alport_castles-21526
Back Tor (Edale),England,Derbyshire,53.36104,-1.78372,8,Shale,,https://www.ukclimbing.com/logbook/crags/back_tor_edale-9849
Chrome Hill,England,Derbyshire,53.20285,-1.89587,6,Limestone,yes,https://www.ukclimbing.com/logbook/crags/chrome_hill-16401
Crowden Great Quarry,England,Derbyshire,53.4956,-1.8882,110,Grit (quarried),,https://www.ukclimbing.com/logbook/crags/crowden_great_quarry-928
Cucklett Delph,England,Derbyshire,53.2819,-1.6782,22,Limestone,,https://www.ukclimbing.com/logbook/crags/cucklett_delph-16390
