Name,Description,Walk time,Location,Tags
"TAVY CLEAVE, R TAVY","Beautiful walk up among tors and views into this wild valley of waterfalls and plunge pools. Follow lanes from Mary Tavy 4 miles NW via Horndon and Willsworthy for Lanehead car park at end (PL19 9NB. Follow track E to Nattor Farm then bear up L and join the leat for 1 mile until it ends at pump house (the leat runs 3 miles W to Wheel Jewell reservoir and could be fun on a rubber ring). Follow stream 500m further and just after it turns L into the cleave find big pool, followed by another 200m further along. More swimming downstream on Tavy, at Creason Woods and United Mines (see listings).",40 mins,"50.6296, -4.0453","[""Walk in"", ""Secluded, remote"", ""Long swim possible""]"
"HORNDON, R TAVY","Explore the streamside remains of the Devon United Mines then head upstream through a little-known wooded valley with many secret waterfall pools. From Mary Tavy park at lane-end, beyond hydro power station (50.5872, -4.1069). Follow path to the bridge and cross. Downstream 250m is a plunge pool below Longtimber Tor. Or upstream, take footpath up through the woods, but follow informal path L along the wooded valley with mine ruins to find pool with rope swing after 500m. The stream path continues to bridge at Horndon, and then on through Creason Woods.",30 mins,"50.5923, -4.0974","[""Walk in"", ""Secluded, remote"", ""Long swim possible""]"
FOGGINTOR QUARRY & SWELLTOR,"Impressive flooded quarry with cliffs and ruins, and the source of the granite used for London Bridge. Close to Merrivale stone row (see listing) and on the mostly off-road Princetown Railway cycle trail (Princetown to Yelverton). 2½ miles W of Two Bridges on B3357, and ½ mile from the telephone box at the B3357 junction (signed Princetown), find a farm track and parking on L (Yellowmeade Farm). Follow track for a mile. Make time to explore Swelltor quarry ½ miles SW. Find the line of abandoned granite corbels, cut in 1903 and intended for London Bridge but left on the railway siding just to the W of the quarry at 50.5424, -4.0392.",20 mins,"50.5444, -4.0245","[""Long swim possible"", ""On a cycle route"", ""Secluded, remote"", ""Heritage / ruins"", ""Mine / industry""]"
CRAZY WELL POOL,"A spring-fed, mystical, moor-top lake excavated by medieval tin miners and reputedly bottomless. Look for Crazy Well Cross which marked the Monk’s Path from Buckfast Abbey to Tavistock Abbey. From Norsworthy Bridge PL20 6PF follow forest track/bridleway 1½ miles up onto the moor. along the edge of the plantation forest. 300m after the end of the forest find a small stream bed which leads 200m up to the lake. The cross is 150 m E at 50.5161, -3.9989.",35 mins,"50.5167, -4.0011","[""Long swim possible"", ""Church / chapel"", ""Secluded, remote"", ""Walk in""]"
BURRATOR RESERVOIR,"Secluded little beach areas where people paddle, despite No Swimming. From Dousland follow the lane over the dam to Sheepstor, turning L 200m before church. Various paths down from the lane.",2 mins,"50.5018, -4.0293","[""Long swim possible"", ""Kids / paddling"", ""Uncertain access""]"
"DOUBLE WATERS, R TAVY","Enchanting oak woodland walk along the Walkham as it winds down to meet the Tavy. Shallow at the actual confluence but small pool 200m upstream on Walkham, or 300m downstream on Tavy. Grenofen Bridge parking (50.5189, -4.1312).",30 mins,"50.5090, -4.1508","[""Kids / paddling""]"
"DENHAM BRIDGE, R TAVY","On narrow lane between Buckland Monachorum and Bere Alston, a very deep-section pool below stone arch. Or find downstream path into woods on R bank (50m above bridge) for a wide, open, pebble beach and deep, secluded corner pool. Car park is beyond PL20 7EF. Upstream 1km is another beautiful deep stretch of river and a remote old weir: follow lane back up towards Buckland for 300m, then following driveway down to L, past house and along river for 10 mins 50.4944, -4.1539.",2 mins,"50.4899, -4.1481","[""Long swim possible"", ""Nature / wild flowers""]"
"SHAVERCOMBE WATERFALL, R PLYM","A very wild and remote, rowan-clad glade with a small pool and waterfall. Continue E through Sheepstor to the road end 1 mile to Gutter Tor car park, PL20 6PG. Follow track S to Ditsworthy Warren House (a bleak, shuttered bunkhouse where Warhorse was filmed). Follow the Plym upstream 750m, bearing R up the Shavercombe brook for 500m to find the fall.",50 mins,"50.4776, -3.9818","[""Church / chapel"", ""Long swim possible"", ""Waterfall"", ""Secluded, remote"", ""Walk in""]"
"CADOVER BRIDGE, R PLYM","Open moorland stream with shallow pools and grassy banks. There is ample parking and safe paddling upstream for a mile. Attracts crowds on hot August weekends, but about 20 mins downstream there is an excellent, large, deep pool with a high rope swing and cliff for jumps, plus several secluded smaller pools along the way. Well-signed from Plympton (6 miles) via Shaugh Prior. For the deep pools follow the path downstream about a mile from the bridge, keeping on the near side of the river, through North Wood, to reach the waterfall and main pool (50.4557, -4.0589).",20 mins,"50.4644, -4.037","[""Kids / paddling"", ""Long swim possible"", ""Nature / wild flowers"", ""Waterfall""]"
"BIG POND, CADOVER BRIDGE","A large, shallow lake in open moorland with pebble beach. Warms up on hot days and usually deserted but No Swimming signs so this is for info only. Take dead-end lane at Cadover Bridge. Continue 1km to car park and stone cross at end then 300m.",5 mins,"50.4503, -4.009","[""Church / chapel"", ""Uncertain access""]"
