Name,Description,Walk time,Location,Tags
GLENRIDDING BECK DUB,"Lovely little waterfall and deep pool hidden in a wooded the fold of the beck, on the main path to Helvellyn, 600m W of the YHA. The whole beck is superb for ghyll scrambling and gorge walking.",20 mins,"54.5456, -2.9904","[""Long swim possible"", ""Walk in""]"
"RED TARN, HELVELLYN","718 metres above sea level and nestled beneath the shadow of Helvellyn's craggy peak, this is one of the finest swimming spots in the Lake District. From Glenridding car park (CA11 0PA), follow road to YHA Helvellyn (CA11 0QR) and, after 300m, cross footbridge and veer R to follow Glenridding Beck (see entry). After 2nd footbridge, follow path SW along Red Tarn Beck all the way up to Red Tarn. Or arrive in style via the superb Striding Edge ridge scramble.",80 mins,"54.5296, -3.0058","[""Long swim possible"", ""Walk in""]"
"ANGLE TARN, BANNERDALE","One of the most enticing spots in the Lake District, with three rocky islands, ledges and places to dive. Fabulous views. Few visitors. A fun gill scramble up Angletarn Beck from Hartsop (CA11 0NY) near Patterdale.",90 mins,"54.5214, -2.9015","[""Long swim possible"", ""Private land, be discreet"", ""Dark skies"", ""Jump or rope swing"", ""Secluded, remote"", ""Island"", ""Scramble / climb""]"
"BROTHERS WATER, HARTSOP","Just 500m wide in every direction, this is one of the smallest lakes in the Lake District, but is surprisingly cool and refreshing for a swim. Easy access. 3.2km S of Patterdale on the A592, park at Cow Bridge (CA11 0NZ). Follow the riverside path S, upstream towards lake. After 400m, take path down to shore.",5 mins,"54.5089, -2.9254","[""Long swim possible"", ""Dog friendly""]"
THE RIGG & CORPSE ROAD,"This distinctive wooded peninsula drops steeply into Haweswater – in dry weather and at low water large beaches appear. From here you can swim out to Wood Howe islet over the flooded village of Mardale (occasionally exposed at very low water). On the opposite shore the Old Corpse Road rises, on its way to Shap Abbey. From Bampton follow the Haweswater road (via CA10 2RP turn) to Mardale Head parking (often overspills up road) at 54.4891, -2.8218. Take the main path, heading for the mountain, but turn R immediately, along the wall, round to the wooded Rigg and its steep shore. Easier, you can stop at one of the wider stretches near gates and drop down to the shore.",20 mins,"54.4973, -2.8114","[""Long swim possible"", ""Beach"", ""Church / chapel""]"
SMALL WATER & ROCK SHELTERS,"It’s a good hike up to Small Water but it makes a beautiful swim in crystal waters. There are numerous strange rock shelters on the far bank in case you decide to camp. From here you can climb up to High Street plateau. As for the Rigg peninsula (see entry), but take the main track up the mountain, keeping R.",60 mins,"54.4835, -2.8411","[""Long swim possible"", ""Heritage / ruins"", ""Dark skies"", ""Secluded, remote""]"
"RIVER LOWTHER, ASKHAM","A scramble down to a wooded, rocky gorge with deep pools. A little shady but good fun. This is a pretty village with two pubs, two community-run heated outdoor swimming pools and Askham Hall with its fabulous kitchen-garden restaurant. Park near the bridge and follow the path upstream 150m, on the opposite bank to the church. The swimming pool is next door to the Queen’s Head Pub and shares facilities with Askham Village Hall (CA10 2PN, 01931 712999). It’s also fun to cycle/walk through the Lowther parkland along the footpath to Low Gardens Bridge (two bridges in fact, 54.6181, -2.7431).",5 mins,"54.6064, -2.7467","[""Long swim possible"", ""Kids / paddling"", ""Pub"", ""Food / facilities"", ""Nature / wild flowers"", ""On a cycle route""]"
SWINDALE BECK WATERFALLS,"Brilliant series of high falls and deep pools in this remote and less-visited valley. Perfect for secluded swimming, but quite a walk in. From M6 at J39 head to Shap, then L following signs for Rosgill. 500m after Rosgill and crossing the river, take hairpin L signed Swindale. Park at road end CA10 2QT, walk up to farmhouse (or someone can do a drop-off there – but no parking), then follow beck up for 1.6km. The main waterfall pools are on the L but there are many good deep slab pools higher too.",40 mins,"54.4956, -2.7591","[""Walk in"", ""Waterfall""]"
"CRAMMEL LINN, R IRTHING","Spectacular 7.5m-waterfall, Northumberland's biggest. Vast pool on wild moor strewn with derelict military tanks, as adjacent to military training area. Check red flags. Popular spot on a hot day. Head 1.5km W of Gilsland, over bridge and uphill past Gilsland Spa. Continue for another 2.5km and take 'no through road' R turn over cattle grid. Find parking by signed footpath on R after 1.5km, on far edge of forest.",10 mins,"55.0202, -2.5637",[]
"FEATHERSTONE CASTLE, R SOUTH TYNE","A superb, accessible swim spot near Featherstone Castle. Suntrap sandy beach on hot days. Deeper water towards the centre of the river, shallows for paddling and flat rocks on the opposite bank for jumping. Beautiful situation. River can be flashy here. On the A69 heading towards Carlisle, 1 mile beyond the Haltwhistle turn-off, turn L on to Bellister Bank and continue for 1.5km, then take a slight R turn and continue for a further 1.5km, passing Haltwhistle Campsite, to parking on R before footbridge over river. Follow footpath on L of riverbank to beaches. Also check out Featherstone Bridge, a km downstream with beach, deep pools and flat, rocky slabs (54.9504, -2.5077).",5 mins,"54.9415, -2.5141","[""Long swim possible"", ""Secluded, remote"", ""Picnic spot"", ""Walk in""]"
"LAMBLEY VIADUCT, R SOUTH TYNE","Pebble beach and pools beneath the impressive Lambley Viaduct with its elegant stone arches. The 260m-long structure once carried trains from Alston to Haltwhistle, transporting coal and lead from the surrounding mines. Follow the A689 N to Lambley. After Lambley village take R turn and follow road for 2km to Lambley Viaduct South Tyne Trail car park on L at 54.9298, -2.5015. Follow waymarked South Tyne Trail, then cross viaduct then footpath to R to footbridge to pebble beach on other side.",20 mins,"54.9191, -2.5085","[""Long swim possible"", ""Picnic spot"", ""Kids / paddling""]"
"KIRKHAUGH, R SOUTH TYNE","Peaceful swim spot by new footbridge over the River South Tyne. Mostly paddling with some deeper pools and large pebble beach. Near Kirkhaugh station on Alston narrow-gauge railway. Perfect picnic spot. From Alston follow the A689 N for around 3km towards Slaggyford. After Nook Farm Shop, find lay-by parking on L at 54.8352, -2.4752. Cross road to follow Pennine Way towards Dyke House, then continue over railway bridge at Kirkhaugh station. Cross field to footbridge over river.",20 mins,"54.8407, -2.4721","[""Kids / paddling"", ""Secluded, remote"", ""Picnic spot"", ""Private land, be discreet"", ""Long swim possible""]"
"CAWFIELD QUARRY, HADRIAN'S WALL","Picturesque lake with cliffs in a former quarry. Above is one of the most scenic stretches of Hadrian's Wall along the sheer crags of Whin Sill. 'No Swimming' signs, although it's popular with swimmers, so make your own choice. Cawfield is clearly signposted from the Military Road. Park in Cawfield's car park by the lake.",1 mins,"54.993, -2.4499","[""Dark skies"", ""Picnic spot"", ""Sunset / view""]"
CRAG LOUGH,"The most magical of the four lakes along the wall, Crag Lough sits directly below the sheer Whin Sill crags. It is a natural eutrophic lake, so be mindful of blue-green algae. From Steel Rigg car park, continue E along the wall for 2km, past the dip of Sycamore Gap, to woodland on L. Just before gate a small path leads down to shore. Alternatively, pass through gate to open meadow and shoreline.",20 mins,"55.0065, -2.3610","[""Long swim possible"", ""Secluded, remote"", ""Picnic spot"", ""Walk in""]"
"PLANKEY MILL, R ALLEN","Beautiful wooded riverside walks through NT Allen Banks and Staward Gorge. Beach with rocky slabs and deep pools around 1km downstream of Plankey Mill (54.9449, -2.3152). Continue downstream for more beaches and pools. 3 miles SW of Haydon bridge on the A686. Parking Allen Banks NT pay and display car park (NE47 7BP).",50 mins,"54.9482, -2.3166","[""Walk in"", ""Long swim possible"", ""Private land, be discreet"", ""Secluded, remote""]"
"CHOLLERFORD, R NORTH TYNE","Deep, calm stretch of the Tyne upstream of Chollerford bridge and weir, with several entry points along the riverside path. Chollerford is 5km N of Hexham. Parking at Chesters Roman Fort (closes 5.30pm). Walk along road to roundabout, cross bridge and follow riverside path upstream.",20 mins,"55.031, -2.1184","[""Long swim possible"", ""Good for SUPs""]"
"TYNE GREEN, R TYNE","Good access to the Tyne from steps and jetty by the 18th-century bridge with beautiful parkland and mature trees. From Hexham follow Haugh Lane straight across roundabout on to the A6079, then turn L on to Tyne Green Road and signs to country park (NE46 3HR) and parking.",2 mins,"54.9767, -2.0960","[""Long swim possible"", ""Good for SUPs"", ""Picnic spot""]"
"SWALLOWSHIP POOL, DEVIL'S WATER","The steep, sandstone walls of a secluded gorge shimmer in the calm waters of this deep, clear pool on the evocatively named Devil's Water. This is a delightful location reached by a pretty woodland trail. Lay-by parking by Kingswood Education and Outdoor Centre (NE46 1TP), N of Linnels Bridge on the B6306. Take footpath into woods, past Duke's House to fork in path near ruins of Five Gates House. Turn R along path through Scots Pines. Turn R when path ends and follow path above Devil's Water to steep, uneven path to burn and pool.",30 mins,"54.9555, -2.0672","[""Long swim possible"", ""Picnic spot"", ""Walk in"", ""Private land, be discreet"", ""Kids / paddling"", ""Secluded, remote""]"
"ALLENSFORD PARK, R DERWENT","An accessible and shaded stretch of the Wear with deep pools for swimming, beaches and paddling. Café at campsite in park. Heading N from Castleside on the A68, take R at Allensford Park to car park and river. To visit nearby Wharnley Burn Falls, a pretty hidden waterfall in a tranquil wooded ravine, cross road to footpath to L of bridge. Follow path upstream to waterfall (54.8446, -1.8849).",2 mins,"54.8476, -1.8765","[""Kids / paddling"", ""Long swim possible"", ""Picnic spot""]"
"EBCHESTER BOATHOUSE, R DERWENT","The boathouse stands next to a weir, forming a large, wide, calm pool on the River Derwent, giving easy access to the water from a small jetty. Popular with rowers, kayakers and swimmers. Driving W through Ebchester on the A694, turn R on to the B6309, Chare Bank, and the boathouse is on the L at the bottom of the hill. Limited parking on a lay-by by the boathouse.",2 mins,"54.8932, -1.8438","[""Long swim possible"", ""Good for SUPs""]"
"LUMLEY BRIDGE, R WEAR","Leisurely stretch of river in the shadow of Durham's cricket ground. Popular with paddleboarders and the rowing club. Easy access from a jetty at the Riverside Sports Complex by Lumley Bridge. From Chesterle-Street follow the B6313 to Park Road N/A167, then turn L at roundabout on to Ropery Lane and Riverside car park.",2 mins,"54.8514, -1.5601","[""Good for SUPs""]"
"FINCHALE PRIORY, R WEAR","Paddling and pools at a meander of the River Wear as it flows past the expansive ruins of 12th century Finchale Priory. From High Carr Rd in Durham, at roundabout take 3rd exit on to Finchale Rd. Continue on to Old Pit Ln, then at roundabout take 2nd exit to stay on Old Pit Ln. At next roundabout take 3rd exit on to Finchale Rd/Ave, then L turn at prison. Road swings to R. Continue to parking at bottom of hill by priory (site closes at 5pm). More secluded spots with deeper pools, beaches and a rope swing on the opposite bank reached by crossing the footbridge and following the riverside paths upstream through Cocken Wood (54.8178, -1.5383) or parking at Cocken Road car park (lay-by) at 54.8196, -1.5388 and following path or steps down to river.",5 mins,"54.8187, -1.5403","[""Picnic spot""]"
ASHGILL FORCE,"Spectacular 16m-curtain waterfall that you can walk behind, by way of a rocky shelf, when not in flood. Situated in a beautiful deep gorge with pools for paddling and dipping in. Many smaller waterfalls further downstream with deeper pools. Park in Garrigill (lay-by parking S of village at 54.7649, -2.3955). After a few hundred metres, follow footpath sign on L, then cross Windshaw Bridge to South Tyne Trail. Follow river upstream for 1.5km, passing small waterfalls and plunge pools.",35 mins,"54.7588, -2.3762","[""Walk in"", ""Waterfall""]"
"ST JOHN'S CHAPEL, R WEAR","Gorgeous natural swimming pool with falls just off the Weardale Way. Grassy bank for picnics and a wide beach. Park in St John's Chapel (on the A689). Then walk to river and follow the Weardale Way riverside path downstream for 800m to pool. Further upstream, find shallows and more pools near old stone bridge at Ireshopeburn (54.7420, -2.1936).",15 mins,"54.7374, -2.1665","[""Long swim possible"", ""Picnic spot"", ""Kids / paddling""]"
SLITT WOOD WATERFALLS & TARN,"A picturesque trail through ash and wych elm woodland beside a series of waterfalls, pools ending in a small lake. The step-like rocks are due to repeated layers of limestone, sandstone and shale wearing away at different rates. At the end of the trail are the remains of Slitt and Middlehope Mines, with pools and a tunnel you can swim through. Travelling W along the A689 in Westgate (Front Street) look for lay-by on R to park (54.7372, -2.1479). Walk W along Front St, turning R just before the Primitive Methodist Chapel (one of the best preserved of its kind in the north). Follow footpath, keeping R at the houses with the burn on the R. Cross footbridge, pass High Mill and go through a kissing gate into the woods, following burn on L. After 1km climb up W to find the circular mineworks reservoir/lake hidden behind embankment with spectacular sunset views (you can also drive up and park here on the lane, to start the walk higher up, 54.7462, -2.1539). Or bear up E to the old ironstone quarry at West Rigg Opencut.",5 mins,"54.747, -2.1475","[""Walk in"", ""Waterfall""]"
"STANHOPE OLD BRIDGE, R WEAR","Deep pools with slabs and ledges beneath an attractive old stone bridge. Stepping stones further downstream towards village. From Stanhope head W on the A689, then take L on to the B6278 to parking in lay-by on L just before bridge. Cross bridge to river access on opp bank. Stepping stones at 54.7473, -2.0156.",2 mins,"54.7466, -2.0244","[""Long swim possible"", ""Picnic spot"", ""Jump or rope swing""]"
"WITTON-LE-WEAR, R WEAR","A pleasant stretch of the Wear with a beach area, paddling and a pool deep enough for a swim up to 70m. From Witton-le-Wear follow road, Clemmy Bank, S to Witton Bridge. Park on L just before bridge and follow riverside path downstream to swim spot.",5 mins,"54.6717, -1.7722","[""Long swim possible"", ""Picnic spot"", ""Private land, be discreet""]"
"ESCOMB VILLAGE, R WEAR",Wide beach and river pools deep enough for swimming near Escomb lake. Park in Escomb village by church (DL14 7SY). Follow Dunelm Chare and footpath behind church to river. Historic St John's Church is the most complete Saxon church in England with the earliest surviving example of a sundial in its original setting.,5 mins,"54.6665, -1.7021","[""Long swim possible"", ""Picnic spot""]"
"BISHOP AUCKLAND, R WEAR","Popular with families and teenagers, this lovely stretch of the Wear has several beaches and is deep enough for a decent swim. Never feels overcrowded as there is plenty of room for everyone. Parking at rugby club layby (54.6638, -1.6874).",5 mins,"54.6647, -1.6906","[""Long swim possible"", ""Picnic spot"", ""Kids / paddling""]"
"LOW FORCE, R TEES","Lesser-known sister of High Force, about 2.5km downstream with a deep pool on a side channel by a wooded island reached across dry rocks (54.6495, -2.1654) and a long gorge beneath the Wynch Bridge. Located 6.5km NW of Middleton-inTeesdale on the B6277. Park at lay-by by junction, 200m after Bowlees Visitor Centre sign. Follow path down to bridge and falls (300m). Afterwards continue along the Pennine Way to admire thundering High Force and 700m beyond is Bleabeck Force, a delightful waterfall on a tributary of the Tees, small pools and paddling. Basic riverside camping 2.5km downstream of Low Force on opp bank at Low Way Farm, Holwick (DL12 0NJ, 01833 640506).",5 mins,"54.6464, -2.1505","[""Walk in"", ""Waterfall""]"
SUMMERHILL FORCE & GIBSON'S CAVE,"Several pretty woodland plunge pools with paddling, leading to a waterfall and large cave overhang with plunge pool. Easy access for paddling/swim halfway between the falls and the cave at 54.6525, -2.1439. The cave is named after William Gibson, a lovable 16th-century rogue who hid here while on the run. From Bowlees Visitor Centre car park (DL12 0XF), keep R to follow riverside path upstream to Summerhill Force then beyond for cave.",10 mins,"54.6528, -2.1414","[""Private land, be discreet"", ""Waterfall"", ""Kids / paddling"", ""Picnic spot""]"
HUDESHOPE BECK WATERFALL,"Hudeshope Beck cuts a deep gorge, forming a pool and scouring caves into its banks. The pool makes a great swim spot and those daring enough might jump from the waterfall with care. Perfect secluded picnic spot with a bit of adventure. Around 1km downstream another low waterfall forms a wide pool, creating a shaded swim spot in a river gorge. From the B6277 through Middleton-in-Teesdale, turn R on to Town Head to King's Walk on the L. Parking after 1/3 mile in lay-by on L. Follow King's Walk to a section of steel barriers on the L to find the waterfall. Scramble down from either side of the bank and walk up gorge to pool.",15 mins,"54.6387, -2.0822","[""Walk in"", ""Waterfall""]"
MILL FORCE,"A bend in the River Greta, close to the town of Bowes, forms a wide pool and waterfall, perfect for swimming. From Bowes take the road S to Gilmonby. At the bridge over the river there is a small lay-by on R before bridge, where you will also find the footpath to the falls.",5 mins,"54.5145, -2.0134","[""Walk in"", ""Waterfall""]"
"EGGLESTONE ABBEY BRIDGE, R TEES","Beneath the high arch of Egglestone Abbey Bridge, the River Tees cuts through, forming a deep gorge with rocks and pools ideal for swimming. Daring young locals climb the rocks to plunge into the river below. Approx 2.5km E of Barnard Castle. Take Newgate out of Barnard Castle, then turn R on to the road signposted for the A66. Follow this over Egglestone Abbey Bridge and turn R at the lights, where there is a lay-by on the R. Return to the bridge to find the Teesdale Way on the E side of the bridge. Descend to the bridge and pools.",5 mins,"54.5296, -1.8993","[""Long swim possible"", ""Take extra care"", ""Jump or rope swing""]"
THE MEETING OF THE WATERS,"The tumble of huge rocks where the Rivers Greta and River Tees meet makes for a dramatic scene that inspired artist J.M.W. Turner. It also forms deep pools, perfect for a cooling swim. Approx 5km E of Barnard Castle. Take Newgate out of Barnard Castle, then turn R on to the road signposted for the A66. Follow this over Egglestone Abbey Bridge, turning L. Follow road to parking at various lay-bys at Manyfold Beck (W of Rokeby Hall). Follow Teesdale Way footpath, which skirts a field next to the river, through woods to Mortham Lane and the pools.",15 mins,"54.5251, -1.8707","[""Long swim possible"", ""Picnic spot""]"
"WHORLTON, R TEES","Beautiful stretch of the Tees that was once a public lido. Cascades tumble over stone slabs into various deeper swimming pools. There are several access points with a shallow entry point at 54.5257, -1.8316. Whorlton is 6.5km E of Barnard Castle. Park in Whorlton village and follow footpath in front of church over the wall and through graveyard. Follow steps on L down to river, then cross stepping stones to riverside path.",5 mins,"54.5266, -1.8349","[""Long swim possible"", ""Picnic spot"", ""Jump or rope swing""]"
"GAINFORD, R TEES","Idyllic swim spot on a bend in the River Tees with a wide pebble beach in one of England's prettiest villages (Stan Laurel, of Laurel and Hardy fame, went to school here). Paddling and deep pools for swimming. Head W from High Coniscliffe on the A67 for 5.5km. At Gainford, turn L on to High Green then continue to village green for parking near St Mary's church (54.5461, -1.7382). Follow riverside footpath through woodland behind church for 400m to beach. Gainford Spa is one km upstream (54.5500, -1.7495), offering a deeper, longer swim. Here the mineral spring flows from an artesian well, discovered in an attempt to drill for coal in the 19th century. The hope was that Gainford would become a spa resort but this never happened. Steep entry to water.",10 mins,"54.5427, -1.7428","[""Long swim possible"", ""Kids / paddling"", ""Picnic spot""]"
"HIGH CONISCLIFFE, R TEES","Deep pools, shallow rapids and a large pebble and sand beach on a secluded stretch of the R Tees between High Coniscliffe and Merrybent. Further beaches downstream. From Merrybent, head NW on the A67 for 3km in direction of Barnard Castle. At High Coniscliffe, pass St Edwin's Church on L and take R to street parking in West Close, Ulnaby Lane (54.5339, -1.6551), just before school. Cross road and follow footpath to L of turreted wall to riverside path. Avoid anglers by continuing downstream. Follow grass path to beach. Continue downstream for other spots at 54.5243, -1.6512 and 54.5260, -1.6373.",10 mins,"54.5246, -1.6535","[""Long swim possible""]"
"NEWSHAM HALL, R TEES","Here the River Tees winds through scenic countryside, with an entry into the water from the grass bank which can be overgrown in summer. Take the Aislaby road from Egglescliffe (S of Stockton-on-Tees) and bear L (straight on) for Newsham Hall. Continue to parking bay on L after 1.5km. Follow Teesdale Way sign diagonally across field to river.",5 mins,"54.4909, -1.4102","[""Long swim possible"", ""Good for SUPs"", ""Picnic spot"", ""Secluded, remote""]"
"YARM, R TEES","A tranquil stretch of river accessed via a small wooden platform, just behind the Blue Bell pub. From Yarm head towards Egglescliffe, crossing the historic bridge. Parking is tricky so turn L on Aislaby Road to park on verge by school playing fields (54.5125, -1.3624) and walk back along the Teesdale Way, which comes out opp pub. Take footpath at side of pub on to riverside path to jetty.",10 mins,"54.5117, -1.354","[""Long swim possible"", ""Good for SUPs""]"
"PRESTON PARK, R TEES","Accessible swim spot from the floating pontoon in Preston Park, with the possibility of an upstream swim to Yarm bridge. Café onsite. Situated 4km N of Yarm on the A135. Well signed. Free parking at Butterfly World, TS18 3RH. Head towards play area and river to find pontoon.",5 mins,"54.5355, -1.3375","[""Long swim possible"", ""Good for SUPs"", ""Picnic spot"", ""Popular / busy""]"
"COD BECK, OSMOTHERLEY","Surrounded by a coniferous woodland beneath remote moorland, this picturesque lake has a shoreside footpath and sheltered beaches. Leave the A19, taking the A684 Northallerton, and follow signs to Osmotherley. Turn L in village and continue 2.5km to 2 car parks. 'No Swim' signs but many do. Use your own judgement. Upstream is the Sheepwash, offering mostly paddling and an idyllic picnic spot (54.3882, -1.0665).",2 mins,"54.3854, -1.2829","[""Long swim possible"", ""Picnic spot"", ""Walk in""]"
"BRIAN'S POND, SCUGDALE","Climb on to the moor at the end of this beautiful, remote valley to find a shimmering moorland tarn and crags for scrambling. From Swainby, off the A172, follow the high street and take a L fork on to Scugdale Road. Follow this road to the very end, to a lay-by before a group of houses. A bridleway to the L of the houses leads up through Barker's Crag and on to the moor. Keep to the bridleway as it runs directly to the pond.",30 mins,"54.399, -1.1972","[""Long swim possible"", ""Scramble / climb"", ""Walk in"", ""Picnic spot"", ""Sunset / view"", ""Private land, be discreet"", ""Secluded, remote""]"
"BLOW GILL, HAWNBY",Mini waterfalls and cascades leap over rocks as water pours down Hawnby Moor into small pools at this delightful roadside stream. Great for paddling and picnics but it is a steep clamber down to the beck so take care. 2 miles NW of Hawnby on the road to Osmotherley. Park at the spacious Hazel Head Car Park and walk 300m to bridge over the gill.,5 mins,"54.3312, -1.1889","[""Walk in"", ""Waterfall""]"
GORMIRE LAKE,"Sheltered by ancient Garbutt Wood and brimming with birdlife, this enchanting tarn, fed by an underground spring, was formed by glacial erosion more than 20,000 years ago. According to local legend it is bottomless, a portal to hell, used by the devil himself, and the water crawls with leeches (there is some truth to this). Some issues with swimming here so be discreet if you dip. Park at Sutton Bank Visitor Centre. Follow footpath signs for Cleveland Way. Continue for 500m. Take L and descend into Garbutt Wood to lakeshore. Path is steep and can be boggy when wet.",30 mins,"54.2427, -1.2283","[""Long swim possible"", ""Picnic spot"", ""Walk in""]"
"CASCADES, R RYE, DUNCOMBE PARK","Gnarled ash trees line the banks along this lovely section of the River Rye in Duncombe Park. The Cascades are popular with local kids, who come here to cool off in summer. Deeper bathing pools up and downstream. This was the former medieval deer park for Helmsley Castle, and many of the ancient trees date back to this time, including ancient pollarded oaks, ash, lime and beech. Heading into Helmsley on the A170 from Thirsk, turn L on to Buckingham Square, then L again through gates to Duncombe Park parking (YO62 5EB). Follow footpath through woods.",30 mins,"54.2373, -1.0665","[""Long swim possible"", ""Picnic spot"", ""Kids / paddling""]"
HELMSLEY OPEN AIR POOL,"A 25-metre, heated outdoor pool, flanked by a wide grassy seating area, and situated in a picturesque location on the fringes of the pretty market town of Helmsley. Unheated in autumn. Baxton's Sprunt, Helmsley, YO62 5HT, 01439 408010",2 mins,"54.2511, -1.0640","[""Entry fee""]"
HOB HOLE,"Local beauty spot next to Baysdale Beck in a steep bracken-carpeted valley. Some pools for dipping in between shallows that tumble over the rocks and stones. Idyllic picnic spot for families. From Young Ralph Cross, take L signposted 'Westerdale'. Follow road for 4km to village, then continue on Upper Esk Road for 1.5km. Parking after ford on L.",2 mins,"54.4575, -0.9963","[""Long swim possible"", ""Picnic spot"", ""Secluded, remote"", ""Kids / paddling""]"
"CASTLETON, R ESK","A steep grassy bank descends to a pleasant stretch of river with deeper pools upstream of the stone bridge. The Esk picks up pace here so be mindful of river levels and flow. S of Castleton, park on grassy verge (New Rd) at the junction of New Rd and Station Rd just after the stone bridge. Then follow river upstream to pools.",2 mins,"54.4660, -0.9433","[""Kids / paddling""]"
SCALING DAM RESERVOIR £,"Large freshwater lake, surrounded by heather moorland, offering organised openwater swimming sessions, once a week. Scaling Dam Sailing Club, https://members. scalingdam.org, 01287 643026.",3 mins,"54.5035, -0.8561","[""Long swim possible"", ""Good for SUPs""]"
"LEALHOLM, R ESK","There are three crossings of the Esk at Lealholm, the bridge, a ford and this set of stepping stones by the village green, which are definitely a favourite with younger visitors. Deeper pool upstream of the Board Inn and more options downstream along riverside footpath. Park in car park at Lealholm.",2 mins,"54.4583, -0.8257","[""Long swim possible"", ""Kids / paddling"", ""Picnic spot""]"
"BEGGAR'S BRIDGE, R ESK","Beautiful stretch of the River Esk with deep pools beneath the medieval Beggar's Bridge with a beach a few metres downstream. Follow the footpath into East Arnecliffe Woods to find a deep pool upstream of the weir. From Glaisdale, follow road towards Egton Bridge. Beggar's Bridge is about 800m along on R, just under railway bridge. In East Arnecliffe Woods, entry point is at 54.4367, -0.7922.",2 mins,"54.4387, -0.7921","[""Long swim possible"", ""Kids / paddling"", ""Picnic spot"", ""Private land, be discreet""]"
"GROSMONT, R ESK","A deep pool and rapids on a meander of the River Esk near Grosmont with further pools upstream. Although not deep, the rapids can be fast flowing so take care. Just off the old toll road between Egton Bridge and Grosmont. From Grosmont, follow road towards Egton, passing footbridge on L, to parking at end of toll road. Follow track to path to river on L.",5 mins,"54.4379, -0.735","[""Long swim possible"", ""Private land, be discreet"", ""Kids / paddling""]"
FALLING FOSS,"A dramatic waterfall that drops 10m into a wide pool. Pass smaller pools along May Beck as you wander through the ancient woodland, before reaching the deeper plunge pool beneath the main falls. The approach is uneven and wet, so good footwear is essential. Follow the B1416 S from Whitby and turn R after 5km, signed 'Newton House/Falling Foss'. Follow Foss Ln for 1.5km to car park. Take footpath into the woods, signposted 'Hermitage', keeping R. Just before the Hermitage, take the L path down the slope along stone trods. Cross the first footbridge, then follow riverbed upstream to bottom of waterfall.",30 mins,"54.419, -0.6327","[""Walk in"", ""Waterfall""]"
NELLY AYRE FOSS,"A secluded waterfall hidden in a copse of trees with a plunge pool and rocky ledges for drying off on afterwards. More plunge pools downstream. Head SW out of Goathland with Mallyan Spout Hotel on R and go across roundabout. Continue for just over a km to parking on R before cattle grid. Find footpath on L, signposted 'Nelly Ayre Foss', alongside New Wath House. Continue to end of wall and start of perimeter fence. Follow fence round and find narrow path down to falls. Scramble down last bit.",20 mins,"54.3858, -0.749","[""Walk in"", ""Waterfall""]"
"THE TARN, GOATHLAND","Nestled in a bowl of upland hills and circled by swallows and skylarks, this peaty moorland tarn has a tussocky shore with small slope for entry on S side of tarn. From Goathland, pass the Mallyan Spout Hotel on R and go straight ahead at roundabout to parking on grass verge on R (54.3944, -0.7318). Follow footpath sign on to moor for 800m.",15 mins,"54.3900, -0.7345","[""Long swim possible"", ""Private land, be discreet"", ""Secluded, remote"", ""Walk in"", ""Picnic spot""]"
MALLYAN SPOUT,"This picturesque waterfall, the highest in the North York Moors, has charmed visitors since Victorian times. Water tumbles over a steep-sided 20m drop. Spectacular after rain but take care as rocks can be slippery. Plunge pool and more pools and swing upstream. Heading N on the A169, take L turn at signpost for Goathland, passing Goathland Viewpoint car park on L. Continue to Goathland village and take L at roundabout to park on verge. Walk back towards Mallyan Spout Hotel and follow signpost 'Footpath Mallyan Spout' and descend into woods. At junction at bottom, path to L leads upstream to Mallyan Spout.",20 mins,"54.3978, -0.7321","[""Long swim possible""]"
THOMASON FOSS,"A very pretty waterfall that leaps over rocky ledges of the Eller Beck into a deep plunge pool. It is tucked away in a wooded dell and is reached by a narrow path and a final rocky scramble. Afterwards, pop into pocket-sized Birch Hall Inn at Beck Hole with its traditional sweet shop. Heading N on the A169, take L at signpost for Beck Hole. Continue to roadside parking on hill before you descend into Beck Hole. Walk into village (800m). Follow signposted footpath by bridge in centre of village to falls.",25 mins,"54.4079, -0.7284","[""Walk in"", ""Waterfall""]"
WATER ARC FOSS,"Spectacular, little-known waterfall with plunge pool upstream of Thomason Foss. Further plunge pools and large flat rocks to L and R of footbridge. Tricky, precipitous descent so take care. From Goathland follow signs for Beck Hole and park at top of this road. Find footpath opp, through a snicket, and head into a field towards railway bridge (look out for steam trains) and steep steps down to riverside. Cross footbridge and turn L along footpath to end, then take steep path on L down to falls.",15 mins,"54.4079, -0.7243",[]
"SINNINGTON, R SEVEN","A pebble beach at a sharp bend in the river, shaded by a canopy of trees with some dappled light. Rope swing and fallen tree trunk to scramble across. From Pickering, follow the A170 for 6.5km then turn R to Sinnington. Continue on Main Street to parking at village hall (donation). Follow road to L of village hall, with river on L, to woodland footpath. Continue along riverside path, round a sharp L-hand bend in river, to a shallow ford used by horse riders. Beach is to L. Also paddle spot at 54.2669, -0.8596 with small beach and pool.",20 mins,"54.2691, -0.8691","[""Long swim possible"", ""Private land, be discreet"", ""Jump or rope swing""]"
